"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2018","94.4000","95.3300","95.3300","94.4000","10.98M","-0.98%"
"Oct 03, 2018","95.3300","95.8300","96.0000","95.1800","6.37M","-0.19%"
"Oct 02, 2018","95.5100","95.6200","95.7000","95.3300","5.57M","-0.12%"
"Oct 01, 2018","95.6200","95.5100","96.0600","95.3400","7.31M","0.49%"
"Sep 29, 2018","95.1500","95.1500","95.1500","95.1500","-","0.00%"
"Sep 28, 2018","95.1500","94.6700","95.2100","94.6300","6.00M","0.31%"
"Sep 27, 2018","94.8600","94.5100","95.1200","94.4000","7.17M","0.51%"
"Sep 26, 2018","94.3800","94.3500","95.1200","94.1801","10.88M","0.22%"
"Sep 25, 2018","94.1700","94.5900","94.7300","94.0700","5.22M","-0.31%"
"Sep 24, 2018","94.4600","94.2100","94.6500","94.0750","5.39M","0.20%"
"Sep 22, 2018","94.2700","94.2700","94.2700","94.2700","-","0.00%"
"Sep 21, 2018","94.2700","94.3900","94.4800","94.0700","8.58M","-0.25%"
"Sep 20, 2018","94.5100","93.8700","94.5700","93.8144","5.08M","0.97%"
"Sep 19, 2018","93.6000","93.6700","93.8650","93.5000","4.19M","-0.14%"
"Sep 18, 2018","93.7300","93.1900","93.9700","93.0500","5.42M","0.58%"
"Sep 17, 2018","93.1900","93.5300","93.5400","93.0750","5.54M","-0.36%"
"Sep 15, 2018","93.5300","93.5300","93.5300","93.5300","-","0.00%"
"Sep 14, 2018","93.5300","93.9200","93.9200","93.3600","5.93M","-0.33%"
"Sep 13, 2018","93.8400","93.0900","93.8400","93.0000","10.60M","1.24%"
"Sep 12, 2018","92.6900","92.2900","92.8600","92.1100","11.06M","0.50%"
"Sep 11, 2018","92.2300","92.1500","92.4100","91.8400","5.68M","-0.09%"
"Sep 10, 2018","92.3100","92.7800","92.9500","92.2200","4.23M","-0.26%"
"Sep 08, 2018","92.5500","92.5500","92.5500","92.5500","-","0.00%"
"Sep 07, 2018","92.5500","92.1900","92.6400","92.0500","5.59M","0.15%"
"Sep 06, 2018","92.4100","92.4000","92.6000","91.8500","5.94M","0.00%"
"Sep 05, 2018","92.4100","91.9700","92.4100","91.7950","10.22M","0.40%"